index,cid,smiles,hepatotoxicity,score,set
79,44205240,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3c4cc[nH]c4ncn3)cn2)C1,True,3.0,TRAIN
80,154257,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2c1cc(O)cc2,True,3.0,VALIDATION
81,5388906,COc1c([C@@H](c2ccccc2)[C@@](O)(CCN(C)C)c2cccc3ccccc23)cc2cc(Br)ccc2n1,True,3.0,TRAIN
82,6918638,O=C(/C=C/c1cc(S(=O)(=O)Nc2ccccc2)ccc1)NO,True,3.0,TRAIN
83,5362124,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O,True,3.0,TRAIN
84,65628,Cn1c(CCCC(=O)O)nc2c1ccc(N(CCCl)CCCl)c2,True,3.0,TRAIN
85,2315,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,True,3.0,TRAIN
86,255968,CCc1c(C(=O)c2ccc(O)cc2)c2ccccc2o1,True,3.0,TRAIN
87,2333,CCc1c(C(=O)c2cc(Br)c(O)c(Br)c2)c2ccccc2o1,True,3.0,TRAIN
88,31593,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,True,3.0,TRAIN
89,243,O=C(O)c1ccccc1,False,3.0,TRAIN
90,1201549,CN1[C@@H]2CC[C@H]1CC(OC(c1ccccc1)c1ccccc1)C2,False,3.0,TRAIN
91,2353,COc1c(OC)c2c[n+]3c(cc2cc1)-c1cc2c(cc1CC3)OCO2,False,3.0,TRAIN
92,247,C[N+](C)(C)CC(=O)[O-],False,3.0,TRAIN
93,9782,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,True,3.0,TRAIN
94,2369,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,True,3.0,TRAIN
95,10275777,COc1ccc(NC(=O)c2ccc(C(=N)N(C)C)cc2)c(C(=O)Nc2ncc(Cl)cc2)c1,False,3.0,TRAIN
96,82146,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,True,3.0,TRAIN
